IDDPTO,NOMBDEP,IDPROV,NOMBPROV,IDDIST,NOMBDIST,NOM_CAP,area,area_km,LONG,LATI
13,LA LIBERTAD,1301,TRUJILLO,130104,HUANCHACO,HUANCHACO,317504618.936000,317.504619,-79.13854816530,-7.99742657478
13,LA LIBERTAD,1302,ASCOPE,130207,SANTIAGO DE CAO,SANTIAGO DE CAO,136619123.157000,136.619123,-79.21773997980,-7.92475332341
13,LA LIBERTAD,1301,TRUJILLO,130110,SIMBAL,SIMBAL,389866303.762000,389.866304,-78.82708511570,-7.91836902001
13,LA LIBERTAD,1302,ASCOPE,130204,MAGDALENA DE CAO,MAGDALENA DE CAO,161165492.087000,161.165492,-79.29992280640,-7.85515630112
13,LA LIBERTAD,1302,ASCOPE,130203,CHOCOPE,CHOCOPE,99530061.945500,99.530062,-79.22638687140,-7.79049674753
13,LA LIBERTAD,1302,ASCOPE,130205,PAIJAN,PAIJAN,82471855.888200,82.471856,-79.30212108400,-7.72870676241
13,LA LIBERTAD,1306,OTUZCO,130613,SINSICAP,SINSICAP,455020073.959000,455.020074,-78.84227151920,-7.71065020225
13,LA LIBERTAD,1302,ASCOPE,130202,CHICAMA,CHICAMA,900338971.608000,900.338972,-79.00822568810,-7.80498197933
13,LA LIBERTAD,1302,ASCOPE,130206,RAZURI,PUERTO DE MALABRIGO,312085171.122000,312.085171,-79.37151261210,-7.68689063000
13,LA LIBERTAD,1311,GRAN CHIMU,131103,MARMOT,MARMOT /13,301024197.229000,301.024197,-78.70150608380,-7.66253048419
13,LA LIBERTAD,1302,ASCOPE,130201,ASCOPE,ASCOPE,298945894.778000,298.945895,-79.08208450580,-7.66089959424
13,LA LIBERTAD,1311,GRAN CHIMU,131101,CASCAS,CASCAS,468161838.643000,468.161839,-78.78480086370,-7.48239218645
13,LA LIBERTAD,1302,ASCOPE,130208,CASA GRANDE,CASA GRANDE,662029213.048000,662.029213,-79.19494150220,-7.57668519017
06,CAJAMARCA,0605,CONTUMAZA,060505,SAN BENITO,SAN BENITO,488402163.671000,488.402164,-78.96232706970,-7.50280601539
13,LA LIBERTAD,1307,PACASMAYO,130701,SAN PEDRO DE LLOC,SAN PEDRO DE LLOC,685787697.502000,685.787698,-79.40487849060,-7.48357163382
06,CAJAMARCA,0605,CONTUMAZA,060503,CUPISNIQUE,TRINIDAD,294111733.827000,294.111734,-79.06657164480,-7.37346510773
23,TACNA,2301,TACNA,230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,ALFONSO UGARTE,188341443.459000,188.341443,-70.24094516050,-18.10766935520
