IDDPTO,NOMBDEP,IDPROV,NOMBPROV,CAPITAL,LAT,LON
01,AMAZONAS,0101,CHACHAPOYAS,CHACHAPOYAS,-6.43705900537,-77.77316667270
01,AMAZONAS,0102,BAGUA,BAGUA,-5.08745015470,-78.40269193140
01,AMAZONAS,0103,BONGARA,JUMBILLA,-5.68344111701,-77.87309050530
01,AMAZONAS,0104,CONDORCANQUI,SANTA MARIA DE NIEVA,-4.16672245158,-78.03859123600
01,AMAZONAS,0105,LUYA,LAMUD,-6.32333464158,-78.07782932510
01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,MENDOZA,-6.37315033892,-77.45438349330
01,AMAZONAS,0107,UTCUBAMBA,BAGUA GRANDE,-5.77048982355,-78.32839245300
02,ANCASH,0201,HUARAZ,HUARAZ,-9.56111636753,-77.64612728660
02,ANCASH,0202,AIJA,AIJA,-9.78452004616,-77.67747234180
02,ANCASH,0203,ANTONIO RAYMONDI,LLAMELLIN,-9.13188563282,-77.05331271810
02,ANCASH,0204,ASUNCION,CHACAS,-9.18986789289,-77.39878000210
02,ANCASH,0205,BOLOGNESI,CHIQUIAN,-10.10722806930,-77.14803648360
02,ANCASH,0206,CARHUAZ,CARHUAZ,-9.29013190037,-77.56854283220
02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,SAN LUIS,-9.04414740168,-77.24167605790
02,ANCASH,0208,CASMA,CASMA,-9.48470857344,-78.18616997660
02,ANCASH,0209,CORONGO,CORONGO,-8.56761892028,-77.88184370210
02,ANCASH,0210,HUARI,HUARI,-9.43350964865,-77.08159540180
02,ANCASH,0211,HUARMEY,HUARMEY,-10.09395726490,-77.92674183910
02,ANCASH,0212,HUAYLAS,CARAZ,-8.94332108050,-77.82820654890
02,ANCASH,0213,MARISCAL LUZURIAGA,PISCOBAMBA,-8.87006916936,-77.34013725740
02,ANCASH,0214,OCROS,OCROS,-10.48802396350,-77.42736935280
02,ANCASH,0215,PALLASCA,CABANA,-8.31661317656,-77.90110234380
02,ANCASH,0216,POMABAMBA,POMABAMBA,-8.72034225329,-77.43531074870
02,ANCASH,0217,RECUAY,RECUAY,-9.95156542990,-77.42587821120
02,ANCASH,0218,SANTA,CHIMBOTE,-8.96884375474,-78.28821730820
02,ANCASH,0219,SIHUAS,SIHUAS,-8.48409348593,-77.58513671610
02,ANCASH,0220,YUNGAY,YUNGAY,-9.20140316762,-77.74295362300
03,APURIMAC,0301,ABANCAY,ABANCAY,-13.73331631370,-72.83383133800
03,APURIMAC,0302,ANDAHUAYLAS,ANDAHUAYLAS,-13.82838701870,-73.39267487150
03,APURIMAC,0303,ANTABAMBA,ANTABAMBA,-14.43763633520,-72.73749415820
03,APURIMAC,0304,AYMARAES,CHALHUANCA,-14.34128600640,-73.24784154980
03,APURIMAC,0305,COTABAMBAS,TAMBOBAMBA,-14.01823789390,-72.26996750650
03,APURIMAC,0306,CHINCHEROS,CHINCHEROS,-13.47005133920,-73.67162289210
03,APURIMAC,0307,GRAU,CHUQUIBAMBILLA,-14.06100413840,-72.62258448530
04,AREQUIPA,0401,AREQUIPA,AREQUIPA,-16.34615683230,-71.55464084880
04,AREQUIPA,0402,CAMANA,CAMANA,-16.40276092180,-72.80476415230
04,AREQUIPA,0403,CARAVELI,CARAVELI,-15.68890487960,-73.96358232650
04,AREQUIPA,0404,CASTILLA,APLAO,-15.60449575700,-72.32350455620
04,AREQUIPA,0405,CAYLLOMA,CHIVAY,-15.68059028750,-71.68136466360
04,AREQUIPA,0406,CONDESUYOS,CHUQUIBAMBA,-15.59785007910,-72.73143907240
04,AREQUIPA,0407,ISLAY,MOLLENDO,-16.96092950510,-71.72085053930
04,AREQUIPA,0408,LA UNION,COTAHUASI,-15.06547710440,-72.80400088150
05,AYACUCHO,0501,HUAMANGA,AYACUCHO,-13.27530807480,-74.21842499980
05,AYACUCHO,0502,CANGALLO,CANGALLO,-13.49949920160,-74.48645896760
05,AYACUCHO,0503,HUANCA SANCOS,HUANCA SANCOS,-13.94436401340,-74.45993847040
05,AYACUCHO,0504,HUANTA,HUANTA,-12.56860825200,-74.17245336910
05,AYACUCHO,0505,LA MAR,SAN MIGUEL,-13.04162586640,-73.71857766970
05,AYACUCHO,0506,LUCANAS,PUQUIO,-14.61647567830,-74.34600361850
05,AYACUCHO,0507,PARINACOCHAS,CORACORA,-15.03262178270,-73.63558619610
05,AYACUCHO,0508,PAUCAR DEL SARA SARA,PAUSA,-15.12274566610,-73.26177431640
05,AYACUCHO,0509,SUCRE,QUEROBAMBA,-14.12467325160,-73.73205953600
05,AYACUCHO,0510,VICTOR FAJARDO,HUANCAPI,-13.78738544280,-74.24888807900
05,AYACUCHO,0511,VILCAS HUAMAN,VILCAS HUAMAN,-13.65944057430,-73.89739327610
06,CAJAMARCA,0601,CAJAMARCA,CAJAMARCA,-7.19747749149,-78.46908667200
06,CAJAMARCA,0602,CAJABAMBA,CAJABAMBA,-7.53996981815,-78.09894429420
06,CAJAMARCA,0603,CELENDIN,CELENDIN,-6.79874746273,-78.20758536880
06,CAJAMARCA,0604,CHOTA,CHOTA,-6.43590646031,-78.87265244000
06,CAJAMARCA,0605,CONTUMAZA,CONTUMAZA,-7.35600480618,-78.97916554860
06,CAJAMARCA,0606,CUTERVO,CUTERVO,-6.17413428397,-78.83942679360
06,CAJAMARCA,0607,HUALGAYOC,BAMBAMARCA,-6.70937874813,-78.54519298460
06,CAJAMARCA,0608,JAEN,JAEN,-5.70944186905,-79.00515300680
06,CAJAMARCA,0609,SAN IGNACIO,SAN IGNACIO,-5.12731406489,-78.94696086300
06,CAJAMARCA,0610,SAN MARCOS,SAN MARCOS,-7.28277989717,-78.06054168170
06,CAJAMARCA,0611,SAN MIGUEL,SAN MIGUEL DE PALLAQUES,-6.97699696654,-78.99748571440
06,CAJAMARCA,0612,SAN PABLO,SAN PABLO,-7.07510497531,-78.74922183630
06,CAJAMARCA,0613,SANTA CRUZ,SANTA CRUZ DE SUCCHABAMBA,-6.68352103597,-78.98230641370
07,CALLAO,0701,CALLAO,CALLAO,-11.94033230090,-77.12585477280
08,CUSCO,0801,CUSCO,CUSCO,-13.55154490290,-71.98116883480
08,CUSCO,0802,ACOMAYO,ACOMAYO,-13.95257706030,-71.65405208130
08,CUSCO,0803,ANTA,ANTA,-13.48905954130,-72.36804839530
08,CUSCO,0804,CALCA,CALCA,-12.98438813260,-72.03794139610
08,CUSCO,0805,CANAS,YANAOCA,-14.43952859790,-71.34347694230
08,CUSCO,0806,CANCHIS,SICUANI,-14.08305906730,-71.12634799550
08,CUSCO,0807,CHUMBIVILCAS,SANTO TOMAS,-14.46430933860,-72.01161758150
08,CUSCO,0808,ESPINAR,YAURI,-14.90455814520,-71.38027121810
08,CUSCO,0809,LA CONVENCION,QUILLABAMBA,-12.35046652640,-72.92351812130
08,CUSCO,0810,PARURO,PARURO,-13.88469948330,-71.91571025330
08,CUSCO,0811,PAUCARTAMBO,PAUCARTAMBO,-13.15488769360,-71.52470181890
08,CUSCO,0812,QUISPICANCHI,URCOS,-13.52282214130,-71.03037298880
08,CUSCO,0813,URUBAMBA,URUBAMBA,-13.25730215460,-72.28878548310
09,HUANCAVELICA,0901,HUANCAVELICA,HUANCAVELICA,-12.71904936820,-75.08697075260
09,HUANCAVELICA,0902,ACOBAMBA,ACOBAMBA,-12.79263404470,-74.58283153750
09,HUANCAVELICA,0903,ANGARAES,LIRCAY,-13.04664833100,-74.62591920160
09,HUANCAVELICA,0904,CASTROVIRREYNA,CASTROVIRREYNA,-13.14533028710,-75.40596284900
09,HUANCAVELICA,0905,CHURCAMPA,CHURCAMPA,-12.61387175920,-74.48736556610
09,HUANCAVELICA,0906,HUAYTARA,HUAYTARA,-13.65616214800,-75.09234769030
09,HUANCAVELICA,0907,TAYACAJA,PAMPAS,-12.24419004380,-74.76873257140
10,HUANUCO,1001,HUANUCO,HUANUCO,-9.79366588158,-76.22723374280
10,HUANUCO,1002,AMBO,AMBO,-10.22849099390,-76.23267402610
10,HUANUCO,1003,DOS DE MAYO,LA UNION,-9.65951335186,-76.62170338630
10,HUANUCO,1004,HUACAYBAMBA,HUACAYBAMBA,-8.99480347160,-76.81027344880
10,HUANUCO,1005,HUAMALIES,LLATA,-9.38428604427,-76.60170552890
10,HUANUCO,1006,LEONCIO PRADO,TINGO MARIA,-9.05472558642,-76.03657764980
10,HUANUCO,1007,MARAÐON,HUACRACHUCO,-8.72119662902,-76.69113789300
10,HUANUCO,1008,PACHITEA,PANAO,-9.97850577742,-75.88116435820
10,HUANUCO,1009,PUERTO INCA,PUERTO INCA,-9.37355106543,-75.08725908240
10,HUANUCO,1010,LAURICOCHA,JESUS,-10.20050320060,-76.70353272000
10,HUANUCO,1011,YAROWILCA,CHAVINILLO,-9.80052648841,-76.60066508610
11,ICA,1101,ICA,ICA,-14.29973984240,-75.64372199810
11,ICA,1102,CHINCHA,CHINCHA ALTA,-13.31786388880,-75.93923793820
11,ICA,1103,NASCA,NASCA,-14.94015514370,-75.07877353380
11,ICA,1104,PALPA,PALPA,-14.37094884280,-75.17417033390
11,ICA,1105,PISCO,PISCO,-13.80360451080,-75.94251756420
12,JUNIN,1201,HUANCAYO,HUANCAYO,-12.09413360720,-75.06576669660
12,JUNIN,1202,CONCEPCION,CONCEPCION,-11.76616598450,-75.13034262310
12,JUNIN,1203,CHANCHAMAYO,LA MERCED,-11.02944511990,-75.13054701110
12,JUNIN,1204,JAUJA,JAUJA,-11.68751080170,-75.48995250890
12,JUNIN,1205,JUNIN,JUNIN,-11.02532537060,-75.90706381330
12,JUNIN,1206,SATIPO,SATIPO,-11.56258980290,-74.10080261900
12,JUNIN,1207,TARMA,TARMA,-11.28067831750,-75.67998528270
12,JUNIN,1208,YAULI,LA OROYA,-11.49749494860,-76.12249516210
12,JUNIN,1209,CHUPACA,CHUPACA,-12.20885313650,-75.43327594120
13,LA LIBERTAD,1301,TRUJILLO,TRUJILLO,-8.06361449291,-78.89663435160
13,LA LIBERTAD,1302,ASCOPE,ASCOPE,-7.72422901726,-79.15164688440
13,LA LIBERTAD,1303,BOLIVAR,BOLIVAR,-7.27952195557,-77.73922615260
